unique_id,race,race_imputed,imputation_probability,date,city,state,zip,county,agencies,highest_force,armed,weapon,aggressive,fleeing,intended_use_of_force,GEOID
18146,Hispanic/Latino,Hispanic/Latino,,2016-09-01,Los Angeles,CA,90001,Los Angeles,Los Angeles County Sheriff's Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Fleeing/Foot,Deadly force,06037535300
18147,Hispanic/Latino,Hispanic/Latino,,2016-09-01,Huntington Park,CA,90058,Los Angeles,Huntington Park Police Department,Gunshot,Armed,Blunt object/Lead pipe,Used weapon,Not fleeing,Deadly force,06037980016
18141,European-American/White,European-American/White,,2016-08-31,Denver,CO,80236,Denver,Denver Police Department,Gunshot,Unarmed,None,Struggled,Fleeing/Foot,Deadly force,08031015600
18142,European-American/White,European-American/White,,2016-08-31,Verona,MO,65769,Barry,Aurora Police Department,Gunshot,Unarmed,None,None/Police alleged vehicular assault,Fleeing/Vehicle,Deadly force,29009960101
18136,European-American/White,European-American/White,,2016-08-30,Graham,WA,98338,Pierce,Pierce County Sheriff's Office,Gunshot,Armed,Edged weapon/Chain saw,Advanced toward officer(s),Not fleeing,Deadly force,53053073116
18137,African-American/Black,African-American/Black,,2016-08-30,Tampa,FL,33619,Hillsborough,Hillsborough County Sheriff's Office,Gunshot,Unarmed,None,Reached to waist,Not fleeing,Deadly force,12057013505
18138,European-American/White,European-American/White,,2016-08-30,Harker Heights,TX,76548,Bell,Bell County Sheriff's Office,Gunshot,Uncertain,Uncertain,Sudden threatening movement,Fleeing/Vehicle,Deadly force,48027021906
18139,Native American/Alaskan,Native American/Alaskan,,2016-08-30,Fairbanks,AK,99701,Fairbanks North Star,Fairbanks Police Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,02090000300
18140,European-American/White,European-American/White,,2016-08-30,Weatherford,TX,76087,Parker,Weatherford Police Department,Gunshot,Armed,Edged weapon/Knife,Advanced toward officer(s),Not fleeing,Deadly force,48367140604
18133,European-American/White,European-American/White,,2016-08-29,San Bernardino,CA,92411,San Bernardino,San Bernardino Police Department,Gunshot,Armed,Edged weapon/Knife,Used weapon,Not fleeing,Deadly force,06071004700
18134,African-American/Black,African-American/Black,,2016-08-29,Raleigh,NC,27610,Wake,Raleigh Police Department,Gunshot,Armed,Firearm/Handgun,Used weapon,Fleeing/Foot,Deadly force,37183052001
18135,European-American/White,European-American/White,,2016-08-29,Kingman,AZ,86401,Mohave,Kingman Police Department,Gunshot,Armed,Firearm/Shotgun,Brandished weapon,Not fleeing,Deadly force,04015953800
18130,European-American/White,European-American/White,,2016-08-28,Eagan,MN,55123,Dakota,Eagan Police Department,Gunshot,Armed,Firearm/Handgun,Used weapon,Uncertain,Deadly force,27037060727
